CoopLink,Age,Title,Author,Price,Picture
https://www.semcoop.com/three-girls-bronzeville-uniquely-american-memoir-race-fate-and-sisterhood,Adult,"Three Girls from Bronzeville: A Uniquely American Memoir of Race, Fate, and Sisterhood",Dawn Turner,$26.99,https://www.semcoop.com/sites/www.semcoop.com/files/imagecache/product/isbn_images/9781982107703.jpg
https://www.semcoop.com/midnight-library-0,Adult,Midnight Library,Matt Haig,$26.00,https://www.semcoop.com/sites/www.semcoop.com/files/imagecache/product/isbn_images/9780525559474.jpg
https://www.semcoop.com/bad-guys-box-set-books-1-5,Early Reader,Bad Guys Box Set: Books 1-5,Aaron Blabey,$29.95,https://www.semcoop.com/sites/www.semcoop.com/files/imagecache/product/isbn_images/9781338267228.jpg
https://www.semcoop.com/ingram-0?isbn=9781423105169,Elementary,Schooled,Gordon Korman,$6.99,https://library.herkserver.com/i/310-142-978-5169.jpg
https://www.semcoop.com/braiding-sweetgrass,Adult,Braiding Sweetgrass,Robin Wall Kimmerer,$18.00,https://www.semcoop.com/sites/www.semcoop.com/files/imagecache/product/isbn_images/9781571313560.jpg
https://www.semcoop.com/ingram-0?isbn=9780316089173,Elementary,Pi in the Sky,Wendy Mass,$8.99,https://library.herkserver.com/i/608-031-978-9173.jpg
https://www.semcoop.com/middlesex,Adult,Middlesex,Jeffrey Eugenides,$20.00,https://www.semcoop.com/sites/www.semcoop.com/files/imagecache/product/isbn_images/9780312427733.jpg
https://www.semcoop.com/baby-monkey-private-eye,Picture Book,"Baby Monkey, Private Eye",Brian Selznick,$16.99,https://www.semcoop.com/sites/www.semcoop.com/files/imagecache/product/isbn_images/9781338180619.jpg
https://www.semcoop.com/amari-and-night-brothers,Middle Grade,Amari and the Night Brothers,B B Alston,$17.99,https://www.semcoop.com/sites/www.semcoop.com/files/imagecache/product/isbn_images/9780062975164.jpg
https://www.semcoop.com/upside-down-magic,Middle Grade,Upside-Down Magic,Sarah Mlynowski,$14.99,https://www.semcoop.com/sites/www.semcoop.com/files/imagecache/product/isbn_images/9780545800457.jpg
https://www.semcoop.com/hamnet,Adult,Hamnet,Maggie O'Farrell,$26.95,https://www.semcoop.com/sites/www.semcoop.com/files/imagecache/product/isbn_images/9780525657606.jpg
https://www.semcoop.com/cold-war-correspondent-nathan-hale%C3%A2%E2%82%AC%E2%84%A2s-hazardous-tales-11,Middle Grade,Cold War Correspondent (Nathan Hale's Hazardous Tales #11),Nathan Hale,$14.99,https://www.semcoop.com/sites/www.semcoop.com/files/imagecache/product/isbn_images/9781419749513.jpg
